commit	date	subject	tags	groups	file_count
16027eb02c1bd75c6fa62e8b6e4c45121acfe012	2020-10-28	(KLT) remove runtime library from ROSE compilation	area:src;src:midend	src/midend	1
dc3db6f8bd5fb2c156bfb3d2285adc4a84c691ba	2020-10-28	Merge branch 'master' of rosecompiler1.llnl.gov:rose/scratch/rose			0
07f79d2bd36b9eef0b61a88cb0009b6228896373	2020-10-28	(jc2) Various cases of un-handled Jovial nodes	area:src;src:backend:unparser;src:frontend;src:frontend:sage;src:rosetta	src/ROSETTA;src/backend/unparser;src/frontend/SageIII	3
696219a14b94ed0b2c3dd6eece55f7cd76cb58a7	2020-10-28	(Release) Incremented version to 0.11.5.2	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
068ada39f5ff3565386f41bbe3b814b22cfefd60	2020-10-28	(Fortran) Implement multi variable declarations	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	4
92644d329f0ede1a96fed8c2223bdb71d2a5e7ef	2020-10-28	(codethorn) version 1.12.16		projects	1
bd8c61bbdbcfdac361b4b68614f0b5625b425238	2020-10-28	(Jovial) Implement variable declarations of STATUS type	area:src;area:tests;src:backend:unparser	src/backend/unparser;tests	4
cf737bf1ab554f9ac7813cbf4ad9ded2839bbe21	2020-10-28	Merge branch 'master' of rosecompiler1.llnl.gov:rose/scratch/rose into Ada			0
d804040a45572067786e35dddc0c962c4bf864d9	2020-10-28	Merge commit '4125d443fc718e9ff443bd7f4ef9840cc066ad93' into HEAD			0
4125d443fc718e9ff443bd7f4ef9840cc066ad93	2020-10-27	(Ada) added new Asis test codes	area:src;area:tests;drop:frontend-other;src:backend:unparser;src:frontend	src/backend/unparser;src/frontend/OTHER;tests	20
2d3287ed6d209897248486ecdd84d3c3336b4366	2020-10-27	Merge branch 'master' of rosecompiler1.llnl.gov:rose/scratch/rose			0
d0084a42565dc79f3bdacf3e55042a0beddca656	2020-10-27	(Release) Incremented version to 0.11.5.1	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
9b85f0cfeffba2c57a7b44f9b5da69913e845369	2020-10-27	(Jovial) Implemented unparsing of SgCaseExp	area:src;area:tests;src:backend:unparser	src/backend/unparser;tests	3
4f5b599c0f79a340c1ee572dc2840f3c2b9c958b	2020-10-27	(Ada) Added test to diff dot files generated by ASIS	area:tests	tests	31
ca08540ae20a6a35d2f9aced7bb768dbb384c07c	2020-10-27	(Ada) backend support for exception renaming	area:src;area:tests;drop:frontend-other;src:backend:unparser;src:frontend	src/backend/unparser;src/frontend/OTHER;tests	12
5ce35b6196e3574561ee2aedb02705013f0500a3	2020-10-27	(Jovial) Performed set_base_type on SgTypedefDeclaration node	area:src;area:tests;drop:frontend-other;src:frontend;src:frontend:sage	src/frontend/OTHER;src/frontend/SageIII;tests	4
f32e269314dd9de74a140e26779cb02745851f20	2020-10-27	Merge branch 'master' of rosecompiler1.llnl.gov:rose/scratch/rose			0
02b4ddf339b581abc863ad2489ce8b99bc2c1b63	2020-10-27	(Ada Frontend) Bug Fix	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	2
013edb4348230966cd95f378f2399091c39d66a5	2020-10-26	(Fortran) Remove unneccessary helper function	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	2
ed358688fbeb15f57d8acaf93b9d3d9edd7498eb	2020-10-26	Merge pull request #17 from sourceryinstitute/implement-functions			0
7c8d144eda1072598114a02e7ce21e592ad3143d	2020-10-26	Merge branch 'implement-functions-and-subroutines' of github.com:sourceryinstitute/rose-sourcery-institute into implement-functions to get latest upstream changes			0
d9c1837161d0320e58bc2e530c64f142d06184dd	2020-10-26	Merge branch 'develop' of https://github.com/rose-compiler/rose into implement-functions-and-subroutines to get the latest upstream changes			0
9797769126a0f0fc85d6a5d7fa58515ea755da9a	2020-10-26	(Fortran) Fixed return types for functions with no prefix	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	3
9fd135e1d583805337818066e10d7f88623dcf49	2020-10-26	(Jovial) Fixed an ambiguity with respect to a function call	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	4
3db1bfedb1a1442bd053f93d6229dd955b1adf2c	2020-10-26	Merge branch 'master' into leek2/ada-dev			0
8d73486d02413dd25e04c1c2ba14eaa5dedbd336	2020-10-26	(Ada Frontend) Put in Empty_ID for null Ada AST nodes	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	1
6db782e0a079ec00ecfeaad80532ba8ec88afa39	2020-10-25	(ROSE) Incremented version to 0.11.5.0	area:cmake;inventory:autotools	autotools;topfiles	2
7acf72b5e5e3b99d66b8e71ae2b283564f7aaa07	2020-10-25	(Release) Incremented version to 0.11.4.27	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
